#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000492l:815797-827968 -            657 43343at33392         -            432  3.7e-174  579.7  23.5   1   4   0.00031       2.9    6.7   0.0     1    19     7    25     7    47 0.87 -
ptg000492l:815797-827968 -            657 43343at33392         -            432  3.7e-174  579.7  23.5   2   4  6.5e-166    6e-162  539.5  12.7    22   355    69   432    50   468 0.91 -
ptg000492l:815797-827968 -            657 43343at33392         -            432  3.7e-174  579.7  23.5   3   4   1.5e-05      0.13   11.1   0.0   362   385   483   506   473   545 0.68 -
ptg000492l:815797-827968 -            657 43343at33392         -            432  3.7e-174  579.7  23.5   4   4     2e-09   1.8e-05   23.9   1.1   382   417   564   599   553   634 0.77 -
ptg000287l:96135-107368  -            653 43343at33392         -            432  6.3e-174  578.9  23.2   1   4   0.00027       2.5    6.9   0.0     1    20     7    26     7    55 0.84 -
ptg000287l:96135-107368  -            653 43343at33392         -            432  6.3e-174  578.9  23.2   2   4  9.2e-166  8.5e-162  539.0  12.2    22   355    69   432    47   461 0.91 -
ptg000287l:96135-107368  -            653 43343at33392         -            432  6.3e-174  578.9  23.2   3   4   1.5e-05      0.14   11.1   0.0   362   385   479   502   469   541 0.68 -
ptg000287l:96135-107368  -            653 43343at33392         -            432  6.3e-174  578.9  23.2   4   4     2e-09   1.8e-05   23.9   1.1   382   417   560   595   549   630 0.77 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/43343at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/43343at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/43343at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:23:08 2022
# [ok]
