#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000240l:7306805-7339880   -            471 71151at33392         -            339  5.2e-160  532.0   4.2   1   3  1.5e-160    2e-158  526.8   0.1     8   307    76   388    71   394 0.94 -
ptg000240l:7306805-7339880   -            471 71151at33392         -            339  5.2e-160  532.0   4.2   2   3       2.3   2.9e+02    0.2   0.0   306   325   409   428   404   445 0.74 -
ptg000240l:7306805-7339880   -            471 71151at33392         -            339  5.2e-160  532.0   4.2   3   3     0.085        11    4.9   0.4   314   339   446   471   435   471 0.83 -
ptg000036l:6781189-6852759   -            207 71151at33392         -            339   1.1e-38  133.1   0.1   1   1     1e-40   1.3e-38  132.9   0.1    82   282     1   206     1   207 0.89 -
ptg000147l:9817365-9841488   -            710 71151at33392         -            339   1.7e-32  112.7   0.1   1   1   2.1e-34   2.7e-32  112.1   0.1    34   289     2   258     1   280 0.84 -
ptg000170l:11019834-11024771 -            257 71151at33392         -            339   3.4e-32  111.8   0.5   1   1   3.7e-34   4.8e-32  111.3   0.5    33   258     5   222     2   225 0.86 -
ptg000149l:19382965-19390305 -            274 71151at33392         -            339   1.9e-29  102.7   0.0   1   1   1.8e-31   2.3e-29  102.4   0.0    33   240     4   203     1   231 0.81 -
ptg000039l:3468163-3468705   -            181 71151at33392         -            339   9.2e-29  100.5   0.4   1   1   7.8e-31   9.9e-29  100.4   0.4    61   240    10   181     1   181 0.85 -
ptg000147l:832073-842496     -            199 71151at33392         -            339   2.4e-27   95.8   0.0   1   1   2.3e-29     3e-27   95.5   0.0    81   253     8   178     3   188 0.85 -
ptg000696l:708822-714106     -            324 71151at33392         -            339   8.4e-27   94.0   0.0   1   1   8.3e-29   1.1e-26   93.7   0.0    37   237     7   197     1   214 0.86 -
