#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000253l:2156116-2271334 -           1098 15757at33392         -            630  1.3e-234  780.1  15.5   1   4  3.9e-192  1.8e-188  627.7   0.0     8   470    44   570    28   578 0.89 -
ptg000253l:2156116-2271334 -           1098 15757at33392         -            630  1.3e-234  780.1  15.5   2   4   6.5e-31     3e-27   95.1   3.7   453   557   598   720   578   729 0.86 -
ptg000253l:2156116-2271334 -           1098 15757at33392         -            630  1.3e-234  780.1  15.5   3   4   8.1e-10   3.8e-06   25.4   0.0   555   578   744   767   738   777 0.89 -
ptg000253l:2156116-2271334 -           1098 15757at33392         -            630  1.3e-234  780.1  15.5   4   4   1.7e-13   8.1e-10   37.6   0.6   574   629   819   900   811   901 0.80 -
ptg000472l:419971-439650   -            461 15757at33392         -            630    0.0041   15.4   0.2   1   2   1.9e-06     0.009   14.3   0.1   351   383   129   161   123   166 0.91 -
ptg000472l:419971-439650   -            461 15757at33392         -            630    0.0041   15.4   0.2   2   2      0.35   1.6e+03   -3.1   0.0   449   472   232   255   228   290 0.84 -
ptg000666l:605276-614982   -            461 15757at33392         -            630    0.0041   15.4   0.2   1   2   1.9e-06     0.009   14.3   0.1   351   383   129   161   123   166 0.91 -
ptg000666l:605276-614982   -            461 15757at33392         -            630    0.0041   15.4   0.2   2   2      0.35   1.6e+03   -3.1   0.0   449   472   232   255   228   290 0.84 -
ptg000097l:1520761-1522245 -            495 15757at33392         -            630      0.21    9.8   0.1   1   2   0.00076       3.5    5.7   0.0   212   257   275   320   266   336 0.84 -
ptg000097l:1520761-1522245 -            495 15757at33392         -            630      0.21    9.8   0.1   2   2     0.012        57    1.7   0.1   199   247   341   394   335   413 0.77 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/15757at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/15757at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/15757at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:22:56 2022
# [ok]
