Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7at33392	Complete	ptg000240l	3228405	3407000	+	7869.7	6530	https://www.orthodb.org/v10?query=7at33392	nesprin-1 isoform X1
123at33392	Duplicated	ptg000186l	169377	220658	-	7632.1	3924	https://www.orthodb.org/v10?query=123at33392	Dynein heavy chain
123at33392	Duplicated	ptg000695l	662336	712224	+	7955.1	3999	https://www.orthodb.org/v10?query=123at33392	Dynein heavy chain
263at33392	Complete	ptg000086l	5061036	5096950	+	5516.2	3096	https://www.orthodb.org/v10?query=263at33392	EGF-like calcium-binding, conserved site
416at33392	Complete	ptg000040l	522802	548681	-	2555.7	1557	https://www.orthodb.org/v10?query=416at33392	midasin
693at33392	Complete	ptg000020l	16985256	17039617	-	4293.9	2553	https://www.orthodb.org/v10?query=693at33392	WD40-repeat-containing domain
695at33392	Duplicated	ptg000174l	9003646	9083868	+	2922.8	2114	https://www.orthodb.org/v10?query=695at33392	SRCR-like domain
695at33392	Duplicated	ptg000368l	962133	1052973	+	2897.3	2091	https://www.orthodb.org/v10?query=695at33392	SRCR-like domain
727at33392	Duplicated	ptg000316l	576034	638040	+	3584.9	2453	https://www.orthodb.org/v10?query=727at33392	protein unc-80 homolog
727at33392	Duplicated	ptg000415l	936706	1006727	+	3401.2	2380	https://www.orthodb.org/v10?query=727at33392	protein unc-80 homolog
734at33392	Complete	ptg000434l	867320	911348	+	3479.7	2088	https://www.orthodb.org/v10?query=734at33392	protein furry isoform X1
764at33392	Complete	ptg000240l	1809195	1853288	-	3814.9	2504	https://www.orthodb.org/v10?query=764at33392	GPCR, family 2, extracellular hormone receptor domain
786at33392	Complete	ptg000165l	5332109	5369400	-	2570.2	1952	https://www.orthodb.org/v10?query=786at33392	multiple epidermal growth factor-like domains protein 8
799at33392	Duplicated	ptg000160l	5869532	5931430	-	3599.4	2312	https://www.orthodb.org/v10?query=799at33392	ubiquitin carboxyl-terminal hydrolase 34
799at33392	Duplicated	ptg000696l	868434	932233	-	3420.5	2287	https://www.orthodb.org/v10?query=799at33392	ubiquitin carboxyl-terminal hydrolase 34
805at33392	Complete	ptg000359l	1080364	1127330	+	2588.0	1687	https://www.orthodb.org/v10?query=805at33392	probable ubiquitin carboxyl-terminal hydrolase FAF-X
818at33392	Complete	ptg000080l	25327967	25347074	+	3534.5	2046	https://www.orthodb.org/v10?query=818at33392	inositol 1,4,5-trisphosphate receptor isoform X1
832at33392	Complete	ptg000553l	769901	1147474	-	2210.8	1578	https://www.orthodb.org/v10?query=832at33392	Dbl homology (DH) domain
