Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7at33392	Complete	ptg000240l_1	3228405	3407000	+	7869.7	6530	https://www.orthodb.org/v10?query=7at33392	nesprin-1 isoform X1
123at33392	Complete	ptg000186l_1	169377	220658	-	7632.1	3924	https://www.orthodb.org/v10?query=123at33392	Dynein heavy chain
263at33392	Complete	ptg000086l_1	5061036	5096950	+	5516.2	3096	https://www.orthodb.org/v10?query=263at33392	EGF-like calcium-binding, conserved site
416at33392	Complete	ptg000040l_1	522802	548681	-	2555.7	1557	https://www.orthodb.org/v10?query=416at33392	midasin
693at33392	Complete	ptg000020l_1	16985256	17039617	-	4293.9	2553	https://www.orthodb.org/v10?query=693at33392	WD40-repeat-containing domain
695at33392	Complete	ptg000174l_1	9003646	9083868	+	2922.8	2114	https://www.orthodb.org/v10?query=695at33392	SRCR-like domain
727at33392	Complete	ptg000316l_1	576034	638040	+	3584.9	2453	https://www.orthodb.org/v10?query=727at33392	protein unc-80 homolog
734at33392	Complete	ptg000434l_1	776323	820351	+	3479.7	2088	https://www.orthodb.org/v10?query=734at33392	protein furry isoform X1
764at33392	Complete	ptg000240l_1	1809195	1853288	-	3814.9	2504	https://www.orthodb.org/v10?query=764at33392	GPCR, family 2, extracellular hormone receptor domain
786at33392	Complete	ptg000165l_1	5332109	5369400	-	2570.2	1952	https://www.orthodb.org/v10?query=786at33392	multiple epidermal growth factor-like domains protein 8
799at33392	Complete	ptg000160l_1	5869532	5931430	-	3599.4	2312	https://www.orthodb.org/v10?query=799at33392	ubiquitin carboxyl-terminal hydrolase 34
805at33392	Complete	ptg000828l_1	109504	157465	-	2160.2	1411	https://www.orthodb.org/v10?query=805at33392	probable ubiquitin carboxyl-terminal hydrolase FAF-X
818at33392	Complete	ptg000080l_1	25327967	25347074	+	3534.5	2046	https://www.orthodb.org/v10?query=818at33392	inositol 1,4,5-trisphosphate receptor isoform X1
832at33392	Complete	ptg000553l_1	769901	1147474	-	2210.8	1578	https://www.orthodb.org/v10?query=832at33392	Dbl homology (DH) domain
892at33392	Complete	ptg000464l_1	4123249	4168140	-	4315.5	1956	https://www.orthodb.org/v10?query=892at33392	pre-mRNA-processing-splicing factor 8
911at33392	Complete	ptg000232l_1	366587	410922	+	798.8	983	https://www.orthodb.org/v10?query=911at33392	maternal protein tudor isoform X1
1040at33392	Complete	ptg000042l_1	105519	149842	-	3082.8	2022	https://www.orthodb.org/v10?query=1040at33392	E3 ubiquitin-protein ligase UBR5 isoform X1
1224at33392	Complete	ptg000080l_1	27090806	27117487	-	1455.8	1584	https://www.orthodb.org/v10?query=1224at33392	chondroitin sulfate proteoglycan 4
1226at33392	Complete	ptg000024l_1	31998947	32104276	-	2386.3	1745	https://www.orthodb.org/v10?query=1226at33392	leucine-rich repeat serine/threonine-protein kinase 1
1321at33392	Complete	ptg000276l_1	3498314	3526943	+	2311.6	2085	https://www.orthodb.org/v10?query=1321at33392	small subunit processome component 20 homolog
1447at33392	Complete	ptg000147l_1	24652423	25024946	-	1612.7	1299	https://www.orthodb.org/v10?query=1447at33392	cadherin-89D
1503at33392	Complete	ptg000265l_1	4570495	4642158	+	2038.8	1618	https://www.orthodb.org/v10?query=1503at33392	protein KIAA0100
