ptg000006l_1	ref|NZ_CP063779.1|	79.479	307	62	1	146783	147089	789430	789735	1.32e-50	217	0	0
ptg000006l_1	ref|NZ_CP023429.1|	73.824	489	113	7	146814	147288	57019	57506	1.73e-39	180	0	0
ptg000006l_1	ref|NC_012968.1|	71.198	868	199	40	146466	147301	2531604	2530756	1.04e-36	171	0	0
ptg000006l_1	ref|NC_014734.1|	76.038	313	72	3	146783	147094	2960376	2960686	2.25e-33	159	0	0
ptg000006l_1	ref|NZ_AP024484.1|	78.541	233	50	0	146784	147016	2983783	2984015	1.05e-31	154	0	0
ptg000006l_1	ref|NZ_CP017770.1|	70.548	876	221	26	146466	147325	3052920	3053774	1.05e-31	154	0	0
ptg000006l_1	ref|NZ_CP030850.1|	75.079	317	76	3	146783	147098	4048139	4047825	6.31e-29	145	0	0
ptg000006l_1	ref|NZ_CP014234.1|	75.071	353	65	17	146967	147301	1579995	1579648	2.27e-28	143	0	0
ptg000006l_1	ref|NC_014207.1|	70.286	838	218	25	146462	147277	3043838	3043010	2.94e-27	139	0	0
ptg000006l_1	ref|NZ_CP022535.1|	77.637	237	46	5	146783	147016	51300	51532	1.06e-26	137	0	0
ptg000006l_1	ref|NZ_LT906460.1|	73.837	344	84	6	146682	147022	2037671	2037331	4.91e-25	132	0	0
ptg000006l_1	ref|NZ_CP018059.1|	72.591	467	103	18	146841	147288	1342353	1341893	1.77e-24	130	0	0
ptg000006l_1	ref|NZ_CP040896.1|	74.051	316	80	2	146784	147098	1138151	1137837	6.36e-24	128	0	0
ptg000006l_1	ref|NZ_HG917868.1|	73.623	345	86	4	146745	147088	2492690	2492350	6.36e-24	128	0	0
ptg000006l_1	ref|NZ_CP009238.1|	73.514	370	81	12	146955	147309	874233	874600	8.22e-23	124	0	0
ptg000006l_1	ref|NZ_CP060092.1|	73.475	377	78	19	146934	147292	851536	851164	2.96e-22	122	0	0
ptg000006l_1	ref|NZ_CP013239.1|	71.207	580	142	16	146439	147016	3725657	3725101	2.96e-22	122	0	0
ptg000006l_1	ref|NZ_AP024110.1|	69.679	841	218	27	146462	147277	2784487	2783659	2.98e-17	106	0	0
ptg000006l_1	ref|NC_006908.1|	74.684	237	53	5	146783	147016	278468	278236	4.98e-15	99.0	0	0
ptg000006l_1	ref|NZ_CP022129.1|	80.833	120	23	0	147170	147289	915517	915636	6.45e-14	95.3	0	0
ptg000006l_1	ref|NZ_CP071376.1|	70.081	615	155	20	146472	147082	721996	721407	3.00e-12	89.8	0	0
ptg000010l_1	ref|NC_009437.1|	91.071	56	5	0	6955641	6955696	1236449	1236394	1.02e-06	76.8	0	0
ptg000011l_1	ref|NZ_CP031769.1|	100.000	40	0	0	1919152	1919191	3980552	3980591	3.23e-06	75.0	0	0
ptg000020l_1	ref|NZ_CP066061.1|	85.870	92	13	0	541663	541754	2951	2860	5.39e-13	99.0	0	0
ptg000020l_1	ref|NZ_CP042435.1|	88.462	78	8	1	6349779	6349856	704329	704405	2.51e-11	93.5	0	0
ptg000020l_1	ref|NC_013771.1|	88.406	69	8	0	6349783	6349851	1430211	1430143	1.51e-08	84.2	0	0
ptg000020l_1	ref|NZ_CP020038.1|	83.333	90	13	2	6349774	6349862	2010652	2010564	5.42e-08	82.4	0	0
ptg000020l_1	ref|NZ_CP067089.2|	83.529	85	14	0	6349766	6349850	2926754	2926670	1.95e-07	80.5	0	0
ptg000020l_1	ref|NZ_CP017253.2|	79.817	109	18	4	6350891	6350997	889094	888988	2.52e-06	76.8	0	0
ptg000025l_1	ref|NZ_OU342399.1|	70.729	919	231	33	10212937	10213836	357414	358313	2.25e-35	172	0	0
ptg000025l_1	ref|NZ_CP040749.1|	80.714	140	27	0	10213394	10213533	4971169	4971308	1.79e-16	110	0	0
ptg000030l_1	ref|NZ_CP066061.1|	95.946	74	3	0	4201312	4201385	3030	2957	7.70e-20	121	0	0
ptg000035l_1	ref|NZ_CP066061.1|	79.452	292	59	1	16053243	16053533	2624	2333	3.48e-45	206	0	0
ptg000035l_1	ref|NZ_CP066061.1|	77.301	326	60	12	15041230	15041554	4323	4011	2.11e-37	180	0	0
ptg000042l_1	ref|NZ_CP012160.1|	81.250	96	16	2	2084735	2084829	427349	427255	5.68e-07	76.8	0	0
ptg000044l_1	ref|NZ_CP066061.1|	81.553	103	19	0	1601018	1601120	4011	4113	1.08e-09	86.1	0	0
ptg000045l_1	ref|NZ_CP008941.1|	72.727	627	154	13	7466894	7467509	2467490	2466870	3.95e-42	195	0	0
ptg000045l_1	ref|NZ_CP063779.1|	78.451	297	61	2	7466900	7467194	789735	789440	5.11e-41	191	0	0
ptg000045l_1	ref|NZ_AP024484.1|	75.667	300	61	11	7466922	7467213	2984066	2983771	1.88e-25	139	0	0
ptg000045l_1	ref|NC_015177.1|	74.658	292	69	3	7466904	7467192	2723278	2722989	5.26e-21	124	0	0
ptg000045l_1	ref|NZ_CP030850.1|	74.818	274	68	1	7466922	7467194	4047856	4048129	1.89e-20	122	0	0
ptg000045l_1	ref|NZ_AP025343.1|	71.702	523	119	16	7466974	7467488	6847074	6847575	2.45e-19	119	0	0
ptg000045l_1	ref|NC_014734.1|	73.841	302	76	3	7466895	7467194	2960686	2960386	8.79e-19	117	0	0
ptg000045l_1	ref|NZ_AP014636.1|	80.263	152	28	2	7467359	7467509	739479	739329	1.14e-17	113	0	0
ptg000045l_1	ref|NZ_CP047165.1|	80.556	144	22	5	7467360	7467500	1944781	1944641	1.90e-15	106	0	0
ptg000045l_1	ref|NZ_CP034346.1|	76.126	222	35	13	7467342	7467557	5961895	5962104	8.86e-14	100	0	0
ptg000045l_1	ref|NC_015164.1|	78.049	164	30	5	7467349	7467509	250535	250375	3.19e-13	99.0	0	0
ptg000045l_1	ref|NZ_CP059856.1|	80.469	128	21	4	7467372	7467497	1741970	1742095	4.12e-12	95.3	0	0
ptg000045l_1	ref|NZ_CP039887.1|	78.431	153	28	5	7467359	7467508	1625848	1625998	4.12e-12	95.3	0	0
ptg000045l_1	ref|NZ_CP014137.1|	89.552	67	7	0	7467359	7467425	4212002	4211936	2.48e-09	86.1	0	0
ptg000045l_1	ref|NZ_FO704550.1|	78.169	142	25	6	7467359	7467497	43625	43763	2.48e-09	86.1	0	0
ptg000045l_1	ref|NZ_CP039886.1|	76.974	152	32	3	7467359	7467508	1631656	1631806	8.92e-09	84.2	0	0
ptg000045l_1	ref|NZ_CP006569.1|	88.060	67	8	0	7467359	7467425	9169	9103	1.15e-07	80.5	0	0
ptg000045l_1	ref|NZ_CP006568.1|	88.060	67	8	0	7467359	7467425	9152	9086	1.15e-07	80.5	0	0
ptg000045l_1	ref|NZ_CP072916.1|	76.552	145	32	2	7467360	7467502	3781381	3781237	4.15e-07	78.7	0	0
ptg000045l_1	ref|NZ_LR215043.1|	89.655	58	6	0	7467359	7467416	271665	271722	5.37e-06	75.0	0	0
ptg000046l_1	ref|NZ_CP066061.1|	90.826	436	30	7	2636915	2637347	2707	3135	2.76e-157	575	0	0
ptg000046l_1	ref|NZ_CP066061.1|	90.826	436	30	7	2657726	2658158	2707	3135	2.76e-157	575	0	0
ptg000046l_1	ref|NZ_CP066061.1|	81.738	564	83	14	2638230	2638789	3881	4428	1.35e-120	453	0	0
ptg000046l_1	ref|NZ_CP066061.1|	81.738	564	83	14	2659041	2659600	3881	4428	1.35e-120	453	0	0
ptg000046l_1	ref|NZ_CP066061.1|	80.762	551	103	3	2656983	2657532	2085	2633	8.17e-113	427	0	0
ptg000046l_1	ref|NZ_CP066061.1|	80.762	551	103	3	2677798	2678347	2085	2633	8.17e-113	427	0	0
ptg000046l_1	ref|NZ_CP066061.1|	83.791	401	65	0	2636321	2636721	2233	2633	6.45e-99	381	0	0
ptg000046l_1	ref|NZ_CP066061.1|	87.600	250	22	6	2276155	2276400	2951	2707	6.73e-69	281	0	0
ptg000046l_1	ref|NZ_CP066061.1|	91.795	195	14	2	2253700	2253893	2951	2758	1.46e-65	270	0	0
ptg000046l_1	ref|NZ_CP066061.1|	91.282	195	15	2	2250386	2250579	2951	2758	6.78e-64	265	0	0
ptg000046l_1	ref|NZ_CP066061.1|	90.256	195	17	2	2271232	2271425	2951	2758	1.47e-60	254	0	0
